prompt,completion
"说明资历还是不错的

###

"," Positive
"
"你对砖行算是有情有义了，倒是砖行对你不仁不义，销得漂亮不惯它！

###

"," Negative
"
"应该就是吓唬吓唬你吧

###

"," Neutral
"
"不用拿财力证明什么的吗，我想整个高额度的卡

###

"," Neutral
"
"我傻逼的打过去想解除风控！

###

"," Negative
"
"千三的啊，额度太低了

###

"," Negative
"
"国内用可以再申请个中行0001，或者冬奥，撸5倍积分也很香。中行批招行不批可能是中行交集流水理财相对更...

###

"," Positive
"
"哪个卡？

###

"," Neutral
"
"圆梦金吧？

###

"," Neutral
"
"我已经还了2.5个利息了

###

"," Neutral
"
"7-15,天，我都民生钻石卡还没拿到{:2_183:}，平安最快，顶多三天。

###

"," Positive
"
"我的就是网贷逾期给我一次次的降额，现在降到三千没降了，今年打算销卡了

###

"," Negative
"
"二类卡可以办这个吗？工行的

###

"," Neutral
"
"没什么用提额照样拒绝

###

"," Negative
"
"这坑我跳了，也顺便提醒一下大家吧，当然头铁的我没意见

###

"," Negative
"
"标准白吧

###

"," Neutral
"
"诈骗被封卡了，可以去柜台取钱后销卡，终生不能用招商。

###

"," Negative
"
"有好消息通知下，交通银行的添利系列还不错的

###

"," Positive
"
"为什么我是800？是的。手续费有点高啊

###

"," Neutral
"
"冲啊兄弟们！这个活动很给力

###

"," Positive
"
"不知道，看银行兴致，她们开心就高

###

"," Negative
"
"云闪付有定制的金白菜

###

"," Neutral
"
"大黑屋一般两年，我就是大黑屋，刚出来，刚好是两年，太坑了吧

###

"," Negative
"
"真的不如以前了。

###

"," Neutral
"
"利率不错，可以撸

###

"," Positive
"
"民生还是很香的，

###

"," Positive
"
"批次5k，用的是彩蛋，开心啊

###

"," Positive
"
"去申请了 借呗，花呗，金条，白条，分期乐啥的都借过，征信应该很花，但是没有一笔逾期记录 保持的还是很好

###

"," Positive
"
"申卡行是怎么知道他行是什么卡呢？征信不显示卡种啊

###

"," Neutral
"
"我5万额度，5w挡

###

"," Neutral
"
"工商银行的信用卡是经典信用卡中的常青树，在工行区的讨论热度也是常年TOP 1。

###

"," Positive
"
"这个靠谱吗？工行的那个还比较靠谱

###

"," Positive
"
"[捂脸]消费达标，下个月月底前，系统扣除，短信发送兑换码，我办了招行哔哩哔哩联名卡，平安联名储蓄卡，这个建行卡是最慢的…

###

"," Negative
"
"我做过2次现金分期，特么钱一直在储蓄卡里，发风险短信来说我违规操作。。立马打电话过去怼，现在打过来要办业务的，通通怼回去。恶心...

###

"," Negative
"
"没告诉你原因?为啥额度这么低

###

"," Negative
"
"雪狼用着10家银行信用卡，觉得招商银行的信用卡app“掌上生活”是体验感最好的，没有之一！其界面简洁，非常容易上手，也没有那么多广告

###

"," Positive
"
"民生很看重地区，有点看不起农村人哈

###

"," Negative
"
"我前年也是这样，本来有2万多，一刷提示余额不足，一看，我靠，负3万多，说是给的临时额度收回了，我说我怎么不知道，他说是给在卡上的总额度，收回了就变负的了，反正理不...

###

"," Negative
"
"二卡共享额度，首卡也不难，这是小白金没什么权益

###

"," Neutral
"
"不减免能分期也行，你需要提交什么资料吗？

###

"," Neutral
"
"和小招的已婚美国运通卡

###

"," Neutral
"
"App上有额度

###

"," Neutral
"
"垃鸡已经被很多行都干了，换新嘿嘿嘿，小额多笔。

###

"," Negative
"
"恭喜，主要我还一张信用卡没有，我寻思有一张我好好养着

###

"," Positive
"
"这有什么说法吗？不应该是银行官方说么，太坑了吧

###

"," Negative
"
"民生还是很容易提的，多刷就能提，风控也松

###

"," Positive
"
"上班的地方有招商，直接叫卡员过来，比较快。

###

"," Positive
"
"你信用卡额度多少，我想要装修和车的额度

###

"," Neutral
"
"招行客服就一直很好，处理很迅速，他们app上内容也设计的很好很丰富，我挺喜欢。

###

"," Positive
"
"不懂别瞎说，这个只需要云闪付付款就可以抵扣了，元旦的时候我兑换了云闪付红包在华润苏果超市买了个炒锅

###

"," Positive
"
"民生是越来越辣鸡了。准备注销了

###

"," Negative
"
"我这个升上来了，就提了一次，上个月还有13k的推荐固定呢，昨天没了，今儿出来变成11k了，太牛马了

###

"," Neutral
"
"5月份参与了5万档一共抽了380块，招行的活动很给力哦

###

"," Neutral
"
"去网点。?网点办信用卡很靠谱

###

"," Positive
"
"我是刷一万返20-300??结果是20，太坑

###

"," Negative
"
"不值钱招行的额度太低

###

"," Negative
"
"中行就那么香么？

###

"," Positive
"
"浦发和交通是最好过的，即使征信花有网贷都能过。

###

"," Neutral
"
"信用卡平准，与荣e共享信用额度，若荣e信用额度降低，

###

"," Neutral
"
"出账后，全额账单分期本期是不用还的

###

"," Neutral
"
"招商的很容易下卡啊，你是不是哪里没填对啊

###

"," Positive
"
"下卡喜提1800元年费

###

"," Positive
"
"恭喜恭喜，小招终究是想起你了！

###

"," Positive
"
"还是给你提了的哇?只是你不满意

###

"," Negative
"
"你这样的话，看能不能跟银行协商，开非恶意逾期证明吧，不然的话，估计难批呀。现在是真不好说，被拒的可能性很大。...

###

"," Negative
"
"卡多不好批??。我15.8额度，申了两次没有批，就因为多头授信。

###

"," Neutral
"
"天天打电话有点烦。招商

###

"," Negative
"
"看不起谁呢，提额这么难

###

"," Negative
"
"目前就觉得招行福利挺好，但是建设银行JOY信用卡

###

"," Positive
"
"广发除了有优惠之外没啥可取之处，积分不能兑换东西，还款日还没到就开始疯狂给你打电话催收，客服态度也贼差，至今还没在广发遇到一个态度好的客服

###

"," Negative
"
"想着有没有破解500限额的，或者大笔过的。这样天天折腾也不是个事吖。

###

"," Neutral
"
"打电话叫我去办，狗日的，没办下来，说我卡太多，哈哈。当时是15W分期通。

###

"," Negative
"
"没必要，免费给个年费，你钱多吗

###

"," Neutral
"
"讨厌一天到晚做广告的ID

###

"," Negative
"
"银行多久向法院申请冻结储蓄卡有什么提示吗

###

"," Neutral
"
"激动，刚秒批了菜金卡5k！我刚看了手机银行预审批2.6w去申请了秒过1.3已经到卡了，2年前交通3.6逾期！去年也申请过卡秒拒...

###

"," Positive
"
"工行不错。

###

"," Positive
"
"亲哥40k，开心的不行了

###

"," Positive
"
"我已经下来了！审批通过了，预审批没用了

###

"," Positive
"
"铁公鸡这波操作，主要就是敲山震虎！

###

"," Negative
"
"如果发送号码正确！那一定就是对了，太开心了吧

###

"," Positive
"
"快申请实体卡恭喜

###

"," Positive
"
"我有个朋友还完分行直接让你去销卡！牛不牛，兴业的

###

"," Negative
"
"看了你帖子大概率要套路。。

###

"," Negative
"
"可是管理费怎么办呀？信用卡的管理费加起来也不少啊

###

"," Neutral
"
"求上帝回复，如何提升额度

###

"," Neutral
"
"了解了，我买的工行的基金还不错哦

###

"," Positive
"
"1号到现在都没更新，还没制卡，凉凉

###

"," Negative
"
"建行5万后很难提额了，出临时有什么意义呢，和固定没什么关系

###

"," Negative
"
"三无人员，那就是体制内？不然能让你申请？太可怜了

###

"," Neutral
"
"过了，面签就行，太开心了

###

"," Positive
"
"达不到啊。所以一看到也吓一跳

###

"," Negative
"
"招商银行羊毛多，办了信用卡可以薅更多

###

"," Positive
"
"我司一台破电脑，下载招商天书那个文件，打开都可能死机

###

"," Negative
"
"额度报喜

###

"," Positive
"
"v，多交流交流经验，基金是咋赚钱的啊

###

"," Neutral
"
"羡慕，可能上个月申请多了。上月连续下了浦发广发华夏交通。这个月申请建行，农业??邮储各种秒拒，买了点建行理财，3个月后在看...

###

"," Negative
"
"三天能进入真正的审核流程就不错了

###

"," Positive
"
"销卡后45天后等征信更新再申请

###

"," Neutral
"
"利息那么低，牛皮

###

"," Positive
"
"经典白生日当天可以10倍积分呢

###

"," Neutral
"
"怎么提交流水？

###

"," Neutral
"
"用容易借申请卡就行??我容易借1w??下卡2w

###

"," Neutral
"
"卡员上门一般比较靠谱

###

"," Positive
"
"你要是资金紧张的话分期肯定是划算的，客服打电话来我一般都不鸟她们。自己app上都操作了

###

"," Negative
"
"我现在有个工行白金10万永久额度??建行4万??邮储金卡2.5万??邮储刚用半个月??能不能申请鼎致白金？知道的给个建议

###

"," Neutral
"
"为啥呢，我提额还是比较顺利的啊

###

"," Positive
"
"没有，就来短信，或者电话就很方便

###

"," Neutral
"
"建行的提额，所有人都很迷糊。

###

"," Negative
"
"走无卡通道申请二卡，多搞点卡

###

"," Neutral
"
"这个限时开放是什么时候？

###

"," Neutral
"
"怎么可能不上征信预期就上可能没更新而已

###

"," Neutral
"
"恭喜楼主通过审核，您的卡片额度为50000祝你用卡愉快

###

"," Positive
"
"销了，过几年再申吧。养不动你还刚啥，累得慌。

###

"," Negative
"
"中行这个还不错，五次刷免，不知有没有实体卡。

###

"," Positive
"
"你说的怎么像是招商银行的错似的，是你逾期了，人家才不给你分期的好吧

###

"," Positive
"
"运气真好，1999是银联的

###

"," Positive
"
"用了几年了，还是一万，还不让提额

###

"," Negative
"
"这招行钻石卡怎样办下来？

###

"," Neutral
"
"估计不影响，我去年办的工行房贷，办理之前首付还差点，就用了中信的新快现，分了12期，贷款也过了

###

"," Positive
"
"小昭不到60k不申卡

###

"," Neutral
"
"学信网毕业了再试试，就不用担心额度的问题了

###

"," Neutral
"
"办信用卡，除了四大国有银行（中国银行、工商银行、农业银行、建设银行），平安银行和招商银行也不错。

###

"," Positive
"
"支持反正汇丰是对我最好的银行对我好的在我心里就是好的

###

"," Positive
"
"光大│福卡13K

###

"," Neutral
"
"卡多负债高，只能销卡降负债。

###

"," Neutral
"
"卡员透露公积金/社保/税单，只要满足18万以上年收入，不用看企业资质就能

###

"," Neutral
"
"现在借记卡管得严。你下次直接说想办个工资卡就行了。有个工作证明就没问题

###

"," Neutral
"
"看不起谁啊是吧，工商银行给注销了

###

"," Negative
"
"哈哈哈，我的兴业随便一申请就是50K

###

"," Positive
"
"好的那我就先不申请，耐心等待

###

"," Neutral
"
"两种，一种是消费三笔，年费会员，前八万名，另一种消费2w，前两万名，都可以领年费会员，也就是说可以刷两年的会员出来，另外强烈推荐招行的哔哩哔哩联名卡，好看太多了，建行app简直是灾难

###

"," Negative
"
"主要是闲着没事??又不用花钱??申请一张玩，享受下福利，还是不错的

###

"," Positive
"
"不用担心，你去面签后直接下卡出额度了。小招不一样，面签没那么多幺蛾子。

###

"," Negative
"
"请问这种鸡怎么截屏的啊，完全搞不懂，心累

###

"," Negative
"
"是不是来水了，一会儿看到两个手动提额成功了

###

"," Neutral
"
"能办下来的就不是事儿，很多地方都不给办了

###

"," Neutral
"
"我在学校办的下卡5000，工作后更新信息直接1.5w，工作半年涨到1.9w了，临额4.5w，可我还是觉得好慢[捂脸]

###

"," Negative
"
"简单，协商很快就行。你自己态度要好，但要强硬。多打投诉电话，不要和催收多bb

###

"," Negative
"
"收卡地址所在的省份，个别省有的市不归省分行管

###

"," Neutral
"
"这个麻烦怎么办？?分期都分不了

###

"," Negative
"
"我1W都卖了，三年没提了，额度低就这样吧

###

"," Negative
"
"他赚3600。别问我怎么知道的，我就普惠前员工。太坑了

###

"," Negative
"
"我的也秒到了，我是为了信用卡提额，我现在可以把融e借还回去不？还是要转到其他人的账户再重新转回来？

###

"," Neutral
"
"银行利息还可以

###

"," Positive
"
"用中行的比较稳妥

###

"," Positive
"
"手机号你不用自己的几个意思了，想诈骗么

###

"," Negative
"
"网贷逾期过，这也能算良好？下5w不错了

###

"," Positive
"
"需要看看银行，招行就可以了

###

"," Neutral
"
"我感觉不会，之前也用过，该提就给提，额度还是不错的

###

"," Positive
"
"隔天才可以看??不过款是扣了。兴业要不要这么坑

###

"," Negative
"
"13万，24期一个月5500。还不上啊。我不止一个，还有支付宝花呗，借呗。还得房租，老人生病每个月也要花钱...

###

"," Neutral
"
"中信银行的送礼速度很慢，最早也要2个多月。

###

"," Negative
"
"如果只打算精养几张卡，征信又没有网贷记录的话，建行还是可以的，好好用建行还是可以半年左右一提的。

###

"," Positive
"
"为什么我没有预批额度看不了了呢？

###

"," Neutral
"
"你是没有白金卡吧？任意下一行真白金卡可以破，这是征信等级限制，白金不行，申钻石，卡等级越高，授信就越高！

###

"," Neutral
"
"我也是在0322网点申请的。半个月都是这样。当时我等了十几天就发到我单位了，效率还可以吧

###

"," Neutral
"
"很久以前开了个所谓招行金卡，没啥卵用很久没用了，昨天突然想起拿来收了200多

###

"," Negative
"
"没钱还一直拿大笔钱填利息手续费。不是个办法

###

"," Neutral
"
"注销一个工行信用卡（2万额度）何其难！

###

"," Negative
"
"羊卡吧，young卡还是不错的

###

"," Positive
"
"一年了一毛不提，建设银行的哦

###

"," Neutral
"
"额度6万之前，同样的工具，同样的方法，招商的提额速度明显比中信快很多。

###

"," Positive
"
"黑屋了??当然提不了，伤心啊

###

"," Negative
"
"上门后一周拿到卡了，伐开心

###

"," Positive
"
"冲动，当时招行给我10万还很开心

###

"," Positive
"
"那时手里还是张普卡，刷了两年不到三年，额度就登顶毕业了。

###

"," Positive
"
"一个月转转限额100万，去补个盾还没有，真是店大欺客，废了以后改用招商方便，服务也好

###

"," Negative
"
"已经很不错了，多提几次就毕业了

###

"," Positive
"
"香白3136环球双M，结果今天去领卡，是国航白，无语！不知道是不是柜台人员操作失误了国航白有没有必要留？

###

"," Negative
"
"你别忽悠我，吓死我了，这管理费。连续6个月同名下总资产额在1000万（含）以上，免收管理费；800万（含）-1000万，管理费是1000元/月；800万以下，管理费是4000元/月。...

###

"," Neutral
"
"再给你补一张，不同入口进入代码还不一样，我也是笑了，不靠谱啊

###

"," Negative
"
"恭喜下卡！推了几次都没推倒

###

"," Positive
"
"老哥那个地区，0755可以上门给你办理

###

"," Neutral
"
"华夏这么低啊？真没见过啊

###

"," Negative
"
"来签到了，薅羊毛很开心啊

###

"," Positive
"
"为什么会被冻结？

###

"," Neutral
"
"哎，为什么我有预批金额，贷款被拒？

###

"," Negative
"
"三楼你把问题说清楚我好解答你！说不清楚，心累啊

###

"," Negative
"
"已经卡联系我了，开心

###

"," Positive
"
"没就没了呗，你又不买车，额度够了就行

###

"," Neutral
"
"我手持鸟白，还不是二十几个就提示汇总过高了

###

"," Neutral
"
"请问已经按要求消费三笔，等了1天哔哩哔哩会员没消息，不会过8万吧，呜呜呜，有无收到的告诉一下一般多久收到，很焦虑

###

"," Negative
"
"我现在想再办一些其它行的银行卡，忌讳多头授信，而且信用卡太多，银行每年都查我征信，过几年以后可能还需要办银行贷款。

###

"," Negative
"
"你好请问你的钱取出来了吗，哈焦虑

###

"," Negative
"
"拢共分三步：1）接30容易姐出来，调平额度到30。马上还清。2）再借20出来。调平额度到50，再还清。3）拍拍手，收工！...

###

"," Neutral
"
"不用担心黑房子，好像黑房子还在提金额

###

"," Negative
"
"刚才收到了新卡片，正准备激活，发现我这个破信用卡，竟然是每年2500元年费的白金卡，omg!

###

"," Negative
"
"看看我的，平安对我还不错，哈哈哈

###

"," Positive
"
"好提，半年就有惊喜

###

"," Positive
"
"工行打电话力推信用卡分期还款，我没同意

###

"," Negative
"
"下卡就是优质的祝贺你在建党100周年的日子

###

"," Positive
"
"太坑了麻蛋一次性扣了我750多取消不了日

###

"," Negative
"
"我工资卡也被锁了，好烦躁

###

"," Negative
"
"平安激活是在vtm激活，大堂经理合照，连可视电话，也就几分钟吧

###

"," Neutral
"
"不错不错，继续刷好了固定也跟着出来

###

"," Positive
"
"信用卡被盗刷一次你就会恨死工行

###

"," Negative
"
"0.55的费率赚不了几个钱，只能挣点积分吧，你5k的卡刷15万，容易搞废卡啊！

###

"," Neutral
"
"逾期太多了，通过几乎没可能

###

"," Neutral
"
"我的提了，2个月了都，平安还是挺快的

###

"," Positive
"
"泰州银行周五提交的，今天，卡后出来最后四位。不知道有多少

###

"," Neutral
"
"线下这速度也够快的了

###

"," Positive
"
"过了还款日就停了，账单日第二天会更新的

###

"," Neutral
"
"是不凉了，已经当他拒了，一般不秒批或隔天批，基本凉了

###

"," Negative
"
"我在成都，帮朋友申请，过了好几个，有个无业的都8张卡了。厉害不

###

"," Neutral
"
"建行快贷真是个好东西！

###

"," Positive
"
"530Li领先型豪华指导价46.19万，太贵了

###

"," Neutral
"
"2、当投资收益率高于 14% 时，收益/收入&gt;1, 投资收益率相比工作收入对财富积累的贡献度将更高。

###

"," Neutral
"
"什么时候多少钱我用了几次一直没收到

###

"," Neutral
"
"白金信用卡，尊贵持卡人，额度100元，年费300元。。。来论坛也有一段时间了，我只服楼主。

###

"," Neutral
"
"我准备消失卡，还有一点惊喜。明白了，谢谢。

###

"," Positive
"
"发誓绝对是最难提额卡！

###

"," Negative
"
"有的客服说话不过脑子的，像浦发的就是

###

"," Negative
"
"加我，我帮你出方案，靠谱的

###

"," Positive
"
"老凡尔赛了,华夏40万额度

###

"," Positive
"
"但是就不给提。就有点尴尬了，都几年了，额度还是很低

###

"," Negative
"
"恭喜楼主，这提额幅度，摩拜！

###

"," Positive
"
"广发银行信用卡在我们大学弄免费办理，还送一箱AD钙，感觉怕是骗人的，有点怕是诈骗的

###

"," Negative
"
"可以延期，看运气，我的延期了几次，还挺满意的

###

"," Positive
"
"我去弄工行也是，10行，57W，怎么申都不下！

###

"," Negative
"
"一星 首开卡给了50000…懵逼了

###

"," Negative
"
"先协商了一下，然后抱怨道。目前这是唯一的办法

###

"," Negative
"
"看商户的。所以多刷几家，这样额度也提的快

###

"," Neutral
"
"棒棒哒??你是写疫情的原因么??我现在也逾期了??也想这样做??也不知道可不可以??希望你能指点下谢谢啦

###

"," Positive
"
"中行都能到19W？这得多优质才行！！！

###

"," Positive
"
"。我讨厌，基金搞了好久都亏，哎

###

"," Negative
"
"恭喜，慢慢养卡。

###

"," Positive
"
"我靠，四大最耐撸，不不，天朝最耐撸的中行也这样了吗？

###

"," Negative
"
"季日均，这砖一个月就行了，开心，哈哈哈

###

"," Positive
"
"400转人工问，就说已经面签核发了，我压根就没收到，郁闷

###

"," Neutral
"
"有鼎雅还要小熊干嘛

###

"," Neutral
"
"现在房贷利率好高啊！三十年利息都够本金了

###

"," Negative
"
"工商的盾确实是太贵，还不如邮局20块

###

"," Negative
"
"你放心，不去你办公室，你让业务员过来哪里，然后业务员就会去的，毕竟他是有钱拿的，还是很开心的

###

"," Positive
"
"好吧，那真的很奇怪，刚放钱就审批，不放就一直是正在审批中，也是很无语

###

"," Negative
"
"楼主分享下光大积分怎么搞，想申请孝心白，怕搞不到积分，微信支付宝支付有积分吗，线下刷卡只要不是被拉黑的收单机构，都有积分吧...

###

"," Neutral
"
"以前的招商很好提，现在没有那么好提了，当初下卡8000

###

"," Positive
"
"等待期间你可以干些其它事情啊。

###

"," Neutral
"
"顺德农商_14k

###

"," Neutral
"
"另外一个可选择的：广发白金，额度高，权益好。活动期内不用刷，绑定vx，zfb即可免年费。

###

"," Positive
"
"怎么刷的谢谢告知

###

"," Neutral
"
"你这征信，难。。。养养再搞吧

###

"," Negative
"
"宁可账单分期，也不要现金分期

###

"," Neutral
"
"代发就能过啊？那说明是资质不错的，一般银行都会批信用卡的

###

"," Positive
"
"抱着试一试的态度结果过了已经进行到这步大概几天到呀好像同

###

"," Neutral
"
"在下萌新新办首卡

###

"," Neutral
"
"平安银行是吸血鬼?

###

"," Negative
"
"刷完了，如何通过提供真实消费券解决，兄弟

###

"," Neutral
"
